,movie_imdb_id,movie_name,movie_rating,movie_vote,movie_year
0,3165,The Dead Man Who Killed,6.8,259,1913
1,3037,Juve Against Fantomas,6.8,376,1913
2,3930,Fantomas Against Fantomas,6.9,364,1914
3,2844,Fantomas - A l'ombre de la guillotine,6.9,486,1913
4,6206,Les vampires,7.0,1491,1915
5,2452,Independenta Romaniei,7.3,55,1912
6,19254,The Passion of Joan of Arc,8.3,10809,1928
7,24844,L'atalante,7.9,4384,1934
8,31885,The Rules of the Game,8.0,9374,1939
9,37674,Children of Paradise,8.1,7927,1945
10,28445,Partie de campagne,8.1,1338,0
11,22150,Le million,7.6,1147,1931
12,28950,Grand Illusion,8.1,12543,1937
13,53459,Eyes Without a Face,7.8,4832,1960
14,38348,Beauty and the Beast,8.1,9486,1946
15,39739,Quai des Orfevres,7.7,1951,1947
16,41719,Orpheus,8.0,3261,1950
17,22599,A nous la liberte,7.7,1552,1931
18,65234,Z,8.1,8406,1969
19,62229,Le samourai,8.1,10822,1967
20,58946,The Battle of Algiers,8.2,14256,1966
21,53198,The 400 Blows,8.1,24476,1959
22,48021,Rififi,8.1,8804,1955
23,79820,The King and the Mockingbird,8.1,1334,1980
24,68361,The Discreet Charm of the Bourgeoisie,8.0,11061,1972
25,18217,Ten Days That Shook the World,7.7,2390,1928
26,48980,The Red Balloon,8.1,3966,1956
27,46911,Diabolique,8.3,15070,1955
28,64040,Army of Shadows,8.1,5535,1969
29,65531,Le cercle rouge,8.1,5185,1970
30,46268,The Wages of Fear,8.3,14513,1953
31,55852,Cleo from 5 to 7,7.9,3038,1962
32,86779,The Octopus,8.4,1014,1984
33,91288,Jean de Florette,8.0,11373,1986
34,50783,Nights of Cabiria,8.3,11245,1957
35,91480,Manon of the Spring,8.0,9387,1986
36,70460,Day for Night,8.0,6347,1973
37,54407,Le Trou,8.2,3289,1960
38,95341,Hotel Terminus,8.1,313,1988
39,58450,The Umbrellas of Cherbourg,7.8,7064,1964
40,372824,The Chorus,7.7,16601,2004
41,58715,The Gospel According to St. Matthew,7.9,3225,1964
42,96163,The Vanishing,7.9,10816,1988
43,54248,Rocco and His Brothers,8.2,4649,1960
44,56119,The Pier,8.2,8059,1962
45,76042,Grin Without a Cat,8.1,222,1977
46,346336,The Best of Youth,8.2,7981,2003
47,65571,The Conformist,8.1,6299,1970
48,95765,Cinema Paradiso,8.4,46605,1988
49,88083,Sexmission,7.8,3576,1984
50,45554,Welcome Mr. Marshall!,8.1,1172,1953
51,111495,Three Colors: Red,8.1,24193,1994
52,53779,La Dolce Vita,8.1,19625,1960
53,92593,Au revoir les enfants,8.1,10087,1987
54,55601,Viridiana,8.2,6274,1961
55,63032,The Great Silence,7.8,4071,1968
56,66904,The Sorrow and the Pity,8.4,1632,1969
57,131636,The Little Fox,8.0,2113,1981
58,108394,Three Colors: Blue,7.9,24411,1993
59,179955,Cat City,8.0,3743,1986
60,829269,Puskas Hungary,8.3,560,2009
61,59619,Fist in His Pocket,7.8,1023,1965
62,57091,The Leopard,8.0,6602,1963
63,38890,Open City,8.2,6372,1945
64,101765,The Double Life of Veronique,7.7,10636,1991
65,254038,La piovra 4,8.4,359,1989
66,249241,Werckmeister Harmonies,8.0,2948,2000
67,111341,Satantango,8.6,1946,1994
68,68182,Aguirre: The Wrath of God,8.0,17935,1972
69,83946,Fitzcarraldo,8.0,9893,1982
70,59646,Repulsion,7.9,12915,1965
71,55913,Divorce - Italian Style,8.2,3523,1961
72,45274,Umberto D.,8.2,8438,1952
73,40522,Bicycle Thieves,8.4,28167,1948
74,118799,Life Is Beautiful,8.4,110987,1997
75,57643,The Executioner,8.1,1540,1963
76,401383,The Diving Bell and the Butterfly,8.0,32066,2007
77,56801,8 1/2,8.1,30316,1963
78,36506,Day of Wrath,7.8,3464,1943
79,92603,Babette's Feast,7.7,6600,1987
80,381681,Before Sunset,8.0,46096,2004
81,38913,Shoeshine,8.0,1700,1946
82,59012,Chimes at Midnight,8.0,2046,1965
83,59578,For a Few Dollars More,8.3,45398,1965
84,58461,A Fistful of Dollars,8.0,40502,1964
85,112471,Before Sunrise,8.0,40519,1995
86,40725,The Red Shoes,8.2,8420,1948
87,253474,The Pianist,8.5,137475,2002
88,56732,The Exterminating Angel,8.0,7679,1962
89,808417,Persepolis,8.0,25848,2007
90,118694,In the Mood for Love,8.0,25389,2000
91,286244,The Triplets of Belleville,7.7,20042,2003
92,424205,Joyeux Noel,7.7,9468,2005
93,211915,Amelie,8.5,184786,2001
94,71691,The Enigma of Kaspar Hauser,8.0,4818,1974
95,80196,Berlin Alexanderplatz,8.8,1532,1980
96,37382,To Have and Have Not,8.0,12855,1944
97,113247,La Haine,8.0,28316,1995
98,47528,La strada,8.2,18147,1954
99,46250,Roman Holiday,8.1,31780,1953
100,71604,Hearts and Minds,8.4,2089,1974
101,82755,Teddy Bear,8.1,2067,1981
102,74896,Mohammad: Messenger of God,8.0,6860,1976
103,48434,Nuit et brouillard,8.6,5445,1955
104,67140,Duck_ You Sucker,7.6,9532,1971
105,317910,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,8.2,10588,2003
106,78788,Apocalypse Now,8.6,175810,1979
107,60196,The Good_ the Bad and the Ugly,9.0,164129,1966
108,911010,White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,8.2,772,2007
109,41959,The Third Man,8.5,51723,1949
110,379225,The Corporation,8.2,9475,2003
111,759952,American Zeitgeist,8.2,1951,2006
112,841119,Lake of Fire,8.3,1043,2006
113,60827,Persona,8.0,15934,1966
114,64116,Once Upon a Time in the West,8.7,75758,1968
115,93191,Wings of Desire,8.0,19723,1987
116,168629,Dancer in the Dark,7.8,36938,2000
117,70644,Scenes from a Marriage,8.3,4899,1973
118,73000,Pinchcliffe Grand Prix,7.8,6065,1975
119,52618,Ben-Hur,8.2,59618,1959
120,1039647,The Union: The Business Behind Getting High,8.4,1591,2007
121,50976,The Seventh Seal,8.3,37675,1957
122,9150,Hearts of the World,6.9,447,1918
123,50986,Wild Strawberries,8.3,21787,1957
124,42804,The Young and the Damned,8.1,6014,1950
125,386032,Sicko,8.2,41200,2007
126,93488,The Man Who Planted Trees,8.6,2032,1988
127,384369,Before the Fall,7.5,4758,2004
128,338564,Infernal Affairs,8.0,36436,2002
129,69467,Cries and Whispers,8.0,8545,1972
130,75520,Jesus of Nazareth,8.5,4771,1977
131,251447,The Tunnel,7.9,2408,2001
132,69035,The New Land,7.9,1003,1972
133,63759,Hour of the Wolf,7.7,4573,1968
134,53976,The Virgin Spring,8.1,7849,1960
135,91670,The Sacrifice,7.9,5036,1986
136,131658,Zapruder Film of Kennedy Assassination,8.1,1127,1963
137,82096,Das Boot,8.5,71270,1981
138,81834,Das Boot,9.2,2741,1985
139,363163,Downfall,8.4,84050,2004
140,34583,Casablanca,8.8,170352,1942
141,986272,Validation,8.2,1140,2007
142,91251,Come and See,8.1,9740,1985
143,83922,Fanny and Alexander,8.2,14426,1982
144,310793,Bowling for Columbine,8.2,77406,2002
145,120731,The Legend of 1900,7.8,14810,1998
146,108052,Schindler's List,8.9,281280,1993
147,8879,You and I,6.8,390,1918
148,8663,A Man There Was,6.9,297,1917
149,912593,No End in Sight,8.3,4119,2007
150,420206,Summer Storm,7.4,5301,2004
151,363510,The Revolution Will Not Be Televised,8.2,1282,2003
152,95467,A Short Film About Love,8.3,3729,1988
153,349825,Miracle,7.4,16453,2004
154,92337,Dekalog,9.1,5298,1989
155,88275,The Times of Harvey Milk,8.3,2356,1984
156,108906,The Kingdom,8.6,6978,1994
157,405094,The Lives of Others,8.5,77069,2006
158,77711,Autumn Sonata,8.1,5395,1978
159,68327,Cabaret,7.8,18258,1972
160,154420,The Celebration,8.0,26900,1998
161,57877,Becket,8.0,5363,1964
162,1179034,From Paris with Love,6.4,22368,2010
163,12364,The Phantom Carriage,7.8,1528,1921
164,15881,Greed,8.0,3989,1924
165,10247,Herr Arnes pengar,6.8,376,1919
166,1205489,Gran Torino,8.3,133449,2008
167,367555,No Direction Home: Bob Dylan,8.5,6517,2005
168,40338,The Fallen Idol,7.9,2351,1948
169,96716,Traffik,8.5,946,1989
170,87884,Paris_ Texas,7.9,16555,1984
171,56194,The Loneliness of the Long Distance Runner,7.6,2497,1962
172,71562,The Godfather: Part II,9.0,250117,1974
173,1220719,Ip Man,8.1,14735,2008
174,249462,Billy Elliot,7.6,38723,2000
175,1386932,Ip Man 2,7.6,5871,2010
176,112130,Pride and Prejudice,9.1,21536,1995
177,338309,Evil,7.9,12684,2003
178,54167,Peeping Tom,7.8,9318,1960
179,109830,Forrest Gump,8.6,307120,1994
180,87843,Once Upon a Time in America,8.4,73614,1984
181,112373,Anne Frank Remembered,8.1,435,1995
182,88247,The Terminator,8.1,182775,1984
183,90521,The Singing Detective,8.8,2253,1986
184,1545103,Rush: Beyond the Lighted Stage,8.4,659,2010
185,1424381,Predators,6.6,35660,2010
186,105695,Unforgiven,8.3,100851,1992
187,87553,The Killing Fields,8.0,22088,1984
188,66714,The Six Wives of Henry VIII,8.3,402,1970
189,116790,Kolya,7.6,7073,1996
190,421082,Control,7.7,19852,2007
191,83390,Brideshead Revisited,8.8,2496,1981
192,86667,The Barchester Chronicles,8.3,452,1982
193,102138,JFK,8.0,60303,1991
194,86250,Scarface,8.1,155125,1983
195,162973,Get Real,7.4,6057,1998
196,80310,Breaker Morant,8.0,6136,1980
197,1130884,Shutter Island,8.0,112594,2010
198,74119,All the President's Men,8.0,32659,1976
199,120802,The Red Violin,7.7,14646,1998
200,120735,Lock_ Stock and Two Smoking Barrels,8.1,128581,1998
201,56172,Lawrence of Arabia,8.5,80629,1962
202,70047,The Exorcist,8.1,105841,1973
203,68646,The Godfather,9.2,417734,1972
204,965382,Tom Petty and the Heartbreakers: Runnin' Down a Dream,8.3,470,2007
205,70917,The Wicker Man,7.7,20741,1973
206,780536,In Bruges,8.0,100573,2008
